dataset,path,images,folders,yaml,txt,species,freshness
archive,D:\MeatVision_Project\Extracted_Datasets\archive,13231,"['Fish_Data', 'images', 'cropped', 'numbered', 'raw_images']",[],[WindowsPath('D:/MeatVision_Project/Extracted_Datasets/archive/Fish_Data/final_all_index.txt')],FISH,False
archive (1),D:\MeatVision_Project\Extracted_Datasets\archive (1),10736,"['Species', 'Black Pomfret', 'Black Snapper', 'Catla', 'Commoncarp', 'Green Chromide', 'Indian Carp', 'Mackerel', 'Mori', 'Mullet', 'Pink Perch', 'Pomfret', 'Prawn', 'Rohu', 'Silver Belly', 'Silvercarp']",[],[],UNKNOWN,False
archive (2),D:\MeatVision_Project\Extracted_Datasets\archive (2),2266,"['Meat Freshness.v1-new-dataset.multiclass', 'train', 'valid']",[],[WindowsPath('D:/MeatVision_Project/Extracted_Datasets/archive (2)/Meat Freshness.v1-new-dataset.multiclass/README.dataset.txt')],UNKNOWN,True
archive (3),D:\MeatVision_Project\Extracted_Datasets\archive (3),0,[],[],[],UNKNOWN,False
archive (4),D:\MeatVision_Project\Extracted_Datasets\archive (4),6843,"['Beef Freshness Dataset', 'Beef or Fork Dataset', 'beefquality', 'test', 'train', 'valid', 'fresh', 'spoiled', 'fresh', 'spoiled', 'fresh', 'spoiled', 'baru', 'test', 'train', 'valid', 'beef', 'others', 'pork', 'beef', 'others', 'pork', 'beef', 'others', 'pork']",[],[],BEEF,True
archive (5),D:\MeatVision_Project\Extracted_Datasets\archive (5),8432,"['Data_tf1_ordered', 'beefyteamdataset', 'meatqualityassesment', 'meat_blgh', 'test_case', 'FRESH', 'FRESH', 'SPOILED', 'FRESH', 'SPOILED']",[],[WindowsPath('D:/MeatVision_Project/Extracted_Datasets/archive (5)/Data_tf1_ordered/datamount.txt')],BEEF,True
archive (6),D:\MeatVision_Project\Extracted_Datasets\archive (6),18430,"['Fish_Dataset', 'NA_Fish_Dataset', 'Fish_Dataset', 'Black Sea Sprat', 'Gilt-Head Bream', 'Hourse Mackerel', 'Red Mullet', 'Red Sea Bream', 'Sea Bass', 'Shrimp', 'Striped Red Mullet', 'Trout', 'Black Sea Sprat', 'Black Sea Sprat GT', 'Gilt-Head Bream', 'Gilt-Head Bream GT', 'Hourse Mackerel', 'Hourse Mackerel GT', 'Red Mullet', 'Red Mullet GT', 'Red Sea Bream', 'Red Sea Bream GT', 'Sea Bass', 'Sea Bass GT', 'Shrimp', 'Shrimp GT', 'Striped Red Mullet', 'Striped Red Mullet GT', 'Trout', 'Trout GT', 'Black Sea Sprat', 'Gilt Head Bream', 'Horse Mackerel', 'Red Mullet', 'Red Sea Bream', 'Sea Bass', 'Shrimp', 'Striped Red Mullet', 'Trout']",[],"[WindowsPath('D:/MeatVision_Project/Extracted_Datasets/archive (6)/license.txt'), WindowsPath('D:/MeatVision_Project/Extracted_Datasets/archive (6)/README.txt'), WindowsPath('D:/MeatVision_Project/Extracted_Datasets/archive (6)/Fish_Dataset/Fish_Dataset/license.txt'), WindowsPath('D:/MeatVision_Project/Extracted_Datasets/archive (6)/Fish_Dataset/Fish_Dataset/README.txt')]",FISH,False
Beef Freshness.v6-dataset-beef-v2.folder,D:\MeatVision_Project\Extracted_Datasets\Beef Freshness.v6-dataset-beef-v2.folder,3852,"['test', 'train', 'valid', 'Fresh', 'Half-Fresh', 'Spoiled', 'Fresh', 'Half-Fresh', 'Spoiled', 'Fresh', 'Half-Fresh', 'Spoiled']",[],"[WindowsPath('D:/MeatVision_Project/Extracted_Datasets/Beef Freshness.v6-dataset-beef-v2.folder/README.dataset.txt'), WindowsPath('D:/MeatVision_Project/Extracted_Datasets/Beef Freshness.v6-dataset-beef-v2.folder/README.roboflow.txt')]",BEEF,True
beef recognizion.v2i.folder,D:\MeatVision_Project\Extracted_Datasets\beef recognizion.v2i.folder,11848,"['test', 'train', 'valid', 'Fresh', 'Half-Fresh', 'Spoiled', 'Fresh', 'Half-Fresh', 'Spoiled', 'Fresh', 'Half-Fresh', 'Spoiled']",[],"[WindowsPath('D:/MeatVision_Project/Extracted_Datasets/beef recognizion.v2i.folder/README.dataset.txt'), WindowsPath('D:/MeatVision_Project/Extracted_Datasets/beef recognizion.v2i.folder/README.roboflow.txt')]",BEEF,True
Beef.v12i.yolov4pytorch,D:\MeatVision_Project\Extracted_Datasets\Beef.v12i.yolov4pytorch,1739,"['test', 'train', 'valid']",[],"[WindowsPath('D:/MeatVision_Project/Extracted_Datasets/Beef.v12i.yolov4pytorch/README.dataset.txt'), WindowsPath('D:/MeatVision_Project/Extracted_Datasets/Beef.v12i.yolov4pytorch/README.roboflow.txt'), WindowsPath('D:/MeatVision_Project/Extracted_Datasets/Beef.v12i.yolov4pytorch/test/_annotations.txt'), WindowsPath('D:/MeatVision_Project/Extracted_Datasets/Beef.v12i.yolov4pytorch/test/_classes.txt'), WindowsPath('D:/MeatVision_Project/Extracted_Datasets/Beef.v12i.yolov4pytorch/train/_annotations.txt'), WindowsPath('D:/MeatVision_Project/Extracted_Datasets/Beef.v12i.yolov4pytorch/train/_classes.txt'), WindowsPath('D:/MeatVision_Project/Extracted_Datasets/Beef.v12i.yolov4pytorch/valid/_annotations.txt'), WindowsPath('D:/MeatVision_Project/Extracted_Datasets/Beef.v12i.yolov4pytorch/valid/_classes.txt')]",BEEF,False
